Data,Taxa de câmbio - R$ / US$ - comercial - compra - média - R$ - Banco Central do Brasil- Boletim- Seção Balanço de Pagamentos (Bacen / Boletim / BP) - BM12_ERC12,
1970.10,1.70545454545455E-12,
1970.11,1.74545454545455E-12,
1970.12,1.76727272727273E-12,
1971.01,1.78909090909091E-12,
1971.02,1.80727272727273E-12,
1971.03,1.82909090909091E-12,
1971.04,1.84727272727273E-12,
1971.05,1.87636363636364E-12,
1971.06,1.89818181818182E-12,
1971.07,1.90909090909091E-12,
1971.08,1.94545454545455E-12,
1971.09,1.97818181818182E-12,
1971.10,1.98909090909091E-12,
1971.11,2.02181818181818E-12,
1971.12,2.03636363636364E-12,
1972.01,2.04363636363636E-12,
1972.02,2.09090909090909E-12,
1972.03,2.10181818181818E-12,
1972.04,2.11272727272727E-12,
1972.05,2.13454545454545E-12,
1972.06,2.13818181818182E-12,
1972.07,2.14909090909091E-12,
1972.08,2.15636363636364E-12,
1972.09,2.17454545454545E-12,
1972.10,2.19272727272727E-12,
1972.11,2.21454545454545E-12,
1972.12,2.24E-12,
1973.01,2.24727272727273E-12,
1973.02,2.20727272727273E-12,
1973.03,2.18181818181818E-12,
1973.04,2.18545454545455E-12,
1973.05,2.20363636363636E-12,
1973.06,2.20363636363636E-12,
1973.07,2.21090909090909E-12,
1973.08,2.21454545454545E-12,
1973.09,2.21818181818182E-12,
1973.10,2.22545454545455E-12,
1973.11,2.22545454545455E-12,
1973.12,2.23636363636364E-12,
1974.01,2.24727272727273E-12,
1974.02,2.30181818181818E-12,
1974.03,2.33454545454545E-12,
1974.04,2.35272727272727E-12,
1974.05,2.29090909090909E-12,
1974.06,2.42181818181818E-12,
1974.07,2.48363636363636E-12,
1974.08,2.51636363636364E-12,
1974.09,2.55636363636364E-12,
1974.10,2.58545454545455E-12,
1974.11,2.62909090909091E-12,
1974.12,2.66181818181818E-12,
1975.01,2.69818181818182E-12,
1975.02,2.74181818181818E-12,
1975.03,2.77090909090909E-12,
1975.04,2.82181818181818E-12,
1975.05,2.86545454545455E-12,
1975.06,2.88727272727273E-12,
1975.07,2.93454545454545E-12,
1975.08,2.99636363636364E-12,
1975.09,3.03636363636364E-12,
1975.10,3.09090909090909E-12,
1975.11,3.16727272727273E-12,
1975.12,3.25090909090909E-12,
1976.01,3.30545454545455E-12,
1976.02,3.37090909090909E-12,
1976.03,3.47272727272727E-12,
1976.04,3.66545454545455E-12,
1976.05,3.77090909090909E-12,
1976.06,3.85818181818182E-12,
1976.07,3.91636363636364E-12,
1976.08,3.99272727272727E-12,
1976.09,4.08727272727273E-12,
1976.10,4.17454545454545E-12,
1976.11,4.29454545454546E-12,
1976.12,4.39636363636364E-12,
1977.01,4.50545454545455E-12,
1977.02,4.59272727272727E-12,
1977.03,4.70181818181818E-12,
1977.04,4.82909090909091E-12,
1977.05,4.95636363636364E-12,
1977.06,5.08363636363636E-12,
1977.07,5.21818181818182E-12,
1977.08,5.31636363636364E-12,
1977.09,5.39636363636364E-12,
1977.10,5.46909090909091E-12,
1977.11,5.57090909090909E-12,
1977.12,5.73454545454545E-12,
1978.01,5.82181818181818E-12,
1978.02,5.91272727272727E-12,
1978.03,6.03272727272727E-12,
1978.04,6.14545454545454E-12,
1978.05,6.29818181818182E-12,
1978.06,6.44E-12,
1978.07,6.55272727272727E-12,
1978.08,6.72727272727273E-12,
1978.09,6.89090909090909E-12,
1978.10,6.99636363636364E-12,
1978.11,7.17454545454546E-12,
1978.12,7.42181818181818E-12,
1979.01,7.66909090909091E-12,
1979.02,7.92727272727273E-12,
1979.03,8.18545454545455E-12,
1979.04,8.46181818181818E-12,
1979.05,8.89090909090909E-12,
1979.06,9.28E-12,
1979.07,9.44727272727273E-12,
1979.08,9.76363636363636E-12,
1979.09,1.04181818181818E-11,
1979.10,1.09163636363636E-11,
1979.11,1.14218181818182E-11,
1979.12,1.45781818181818E-11,
1980.01,1.57963636363636E-11,
1980.02,1.624E-11,
1980.03,1.68436363636364E-11,
1980.04,1.74981818181818E-11,
1980.05,1.80327272727273E-11,
1980.06,1.86036363636364E-11,
1980.07,1.91454545454545E-11,
1980.08,1.98E-11,
1980.09,2.05127272727273E-11,
1980.10,2.13018181818182E-11,
1980.11,2.22254545454545E-11,
1980.12,2.31272727272727E-11,
1981.01,2.44327272727273E-11,
1981.02,2.55127272727273E-11,
1981.03,2.69090909090909E-11,
1981.04,2.85709090909091E-11,
1981.05,3.04072727272727E-11,
1981.06,3.20836363636364E-11,
1981.07,3.4E-11,
1981.08,3.61563636363636E-11,
1981.09,3.80945454545455E-11,
1981.10,4.03309090909091E-11,
1981.11,4.268E-11,
1981.12,4.51672727272727E-11,
1982.01,4.74763636363636E-11,
1982.02,4.97454545454546E-11,
1982.03,5.24363636363636E-11,
1982.04,5.508E-11,
1982.05,5.78836363636364E-11,
1982.06,6.09090909090909E-11,
1982.07,6.43163636363636E-11,
1982.08,6.84254545454545E-11,
1982.09,7.312E-11,
1982.10,7.80436363636364E-11,
1982.11,8.32036363636364E-11,
1982.12,8.88E-11,
1983.01,9.52327272727273E-11,
1983.02,1.14170909090909E-10,
1983.03,1.44934545454545E-10,
1983.04,1.57490909090909E-10,
1983.05,1.71734545454545E-10,
1983.06,1.87345454545455E-10,
1983.07,2.06374545454545E-10,
1983.08,2.32825454545455E-10,
1983.09,2.53956363636364E-10,
1983.10,2.84127272727273E-10,
1983.11,3.15272727272727E-10,
1983.12,3.42232727272727E-10,
1984.01,3.69472727272727E-10,
1984.02,4.09127272727273E-10,
1984.03,4.59618181818182E-10,
1984.04,5.02105454545454E-10,
1984.05,5.46610909090909E-10,
1984.06,5.95163636363636E-10,
1984.07,6.57090909090909E-10,
1984.08,7.21596363636364E-10,
1984.09,7.97454545454545E-10,
1984.10,8.87818181818182E-10,
1984.11,9.89436363636363E-10,
1984.12,1.08856363636364E-09,
1985.01,1.21712363636364E-09,
1985.02,1.36189818181818E-09,
1985.03,1.50552363636364E-09,
1985.04,1.70832727272727E-09,
1985.05,1.89685818181818E-09,
1985.06,2.08076727272727E-09,
1985.07,2.25454545454545E-09,
1985.08,2.43322181818182E-09,
1985.09,2.69982545454545E-09,
1985.10,2.96229090909091E-09,
1985.11,3.23036363636364E-09,
1985.12,3.58654545454545E-09,
1986.01,4.092E-09,
1986.02,4.71454545454545E-09,
1986.03,5.00727272727273E-09,
1986.04,5.00727272727273E-09,
1986.05,5.00727272727273E-09,
1986.06,5.00727272727273E-09,
1986.07,5.00727272727273E-09,
1986.08,5.00727272727273E-09,
1986.09,5.00727272727273E-09,
1986.10,5.05454545454545E-09,
1986.11,5.10545454545455E-09,
1986.12,5.26181818181818E-09,
1987.01,5.68E-09,
1987.02,6.56363636363636E-09,
1987.03,7.6E-09,
1987.04,8.57818181818182E-09,
1987.05,1.11381818181818E-08,
1987.06,1.42690909090909E-08,
1987.07,1.62581818181818E-08,
1987.08,1.70545454545455E-08,
1987.09,1.80436363636364E-08,
1987.10,1.93236363636364E-08,
1987.11,2.14509090909091E-08,
1987.12,2.44181818181818E-08,
1988.01,2.80981818181818E-08,
1988.02,3.28690909090909E-08,
1988.03,3.87672727272727E-08,
1988.04,4.54763636363636E-08,
1988.05,5.45054545454545E-08,
1988.06,6.45163636363636E-08,
1988.07,7.80909090909091E-08,
1988.08,9.67563636363636E-08,
1988.09,1.1804E-07,
1988.10,1.48963636363636E-07,
1988.11,1.90378181818182E-07,
1988.12,2.42796363636364E-07,
1989.01,3.27272727272727E-07,
1989.02,3.6E-07,
1989.03,3.6E-07,
1989.04,3.67272727272727E-07,
1989.05,3.96363636363636E-07,
1989.06,4.83636363636364E-07,
1989.07,6.94545454545455E-07,
1989.08,8.94545454545454E-07,
1989.09,1.18181818181818E-06,
1989.10,1.62545454545455E-06,
1989.11,2.26181818181818E-06,
1989.12,3.34909090909091E-06,
1990.01,5.17818181818182E-06,
1990.02,8.56E-06,
1990.03,1.34581818181818E-05,
1990.04,1.72E-05,
1990.05,1.88872727272727E-05,
1990.06,2.06909090909091E-05,
1990.07,2.40945454545455E-05,
1990.08,2.60145454545455E-05,
1990.09,2.73345454545455E-05,
1990.10,3.43927272727273E-05,
1990.11,4.45345454545455E-05,
1990.12,5.59890909090909E-05,
1991.01,6.99709090909091E-05,
1991.02,8.03709090909091E-05,
1991.03,8.34909090909091E-05,
1991.04,9.15418181818182E-05,
1991.05,9.91309090909091E-05,
1991.06,0.000108189090909091,
1991.07,0.000119483636363636,
1991.08,0.000134818181818182,
