Data;Meio de pagamento restrito - M1 - fim de período - R$ - Banco Central do Brasil, Notas Econômico-financeiras para a Imprensa, Política Monetária e Operações de Crédito do SFN (Bacen/Notas Imprensa/Moeda) - BM12_M1N12;
2013.04;297020,509;
2013.05;302852,163;
2013.06;310759,832;
2013.07;304941,433;
2013.08;308211,808;
2013.09;311800,042;
2013.10;308363,436;
2013.11;325398,936;
2013.12;354650,948;
2014.01;323274,695;
2014.02;326389,329;
2014.03;321036,411;
2014.04;320332,877;
2014.05;314796,451;
2014.06;317270,689;
2014.07;313720,506;
2014.08;317892,917;
2014.09;325937,821;
2014.10;324782,47;
2014.11;338309,402;
2014.12;363361,535;
2015.01;333454,078;
2015.02;330708,611;
2015.03;327928,96;
2015.04;319444,733;
2015.05;318441,737;
2015.06;318619,292;
2015.07;312043,132;
2015.08;310097,6;
2015.09;308941,546;
2015.10;311859,455;
2015.11;323866,983;
2015.12;347220,589;
2016.01;321522,785;
2016.02;319261,836;
2016.03;313677,641;
2016.04;316640,864;
2016.05;314364,643;
2016.06;315458,133;
2016.07;313978,056;
2016.08;313375,647;
2016.09;323287,076;
2016.10;322983,773;
2016.11;332706,192;
2016.12;363028,546;
2017.01;326435,805;
2017.02;333845,63;
2017.03;325270,676;
2017.04;327570,8;
2017.05;326537;
2017.06;333582,469;
2017.07;333533,428;
2017.08;330016,863;
2017.09;335224,186;
2017.10;334125,389;
2017.11;348897,769;
2017.12;383839,562;
2018.01;347816,12;
2018.02;349603,126;
2018.03;355419,947;
2018.04;359192,039;
2018.05;358130,097;
2018.06;359116,892;
2018.07;356789,583;
2018.08;365719,88;
2018.09;371430,695;
2018.10;362857,188;
2018.11;376198,825;
2018.12;410226,239;
2019.01;372836,696;
2019.02;376405,088;
2019.03;377380,908;
2019.04;375671,489;
2019.05;371571,21;
2019.06;376630,901;
2019.07;372490,492;
2019.08;376799,693;
2019.09;387561,723;
2019.10;381928,994;
2019.11;406241,336;
2019.12;447721,783;
2020.01;404550,142;
2020.02;409907,807;
2020.03;435822,892;
2020.04;471271,06;
2020.05;503444,375;
2020.06;534044,506;
2020.07;546432,508;
2020.08;565320,57;
2020.09;586004,391;
2020.10;590278,158;
2020.11;607517,47;
2020.12;641107,547;
2021.01;590903,6;
2021.02;587846,663;
2021.03;593105,306;
2021.04;598687,912;
2021.05;602415,023;
2021.06;636140,891;
2021.07;645132,915;
2021.08;636970,352;
2021.09;629638,197;
2021.10;619047,658;
2021.11;623268,166;
2021.12;653420,212;
2022.01;599753,042;
2022.02;604776,93;
2022.03;602964,529;
2022.04;610803,461;
2022.05;602960,596;
2022.06;609435,478;
2022.07;603734,003;
2022.08;603313,056;
2022.09;606755,327;
2022.10;594572,665;
2022.11;606868,801;
2022.12;645798,347;
2023.01;595517,983;
2023.02;599821,499;
2023.03;600411,789;
2023.04;601348,363;
2023.05;588530,231;
2023.06;597802,82;
2023.07;595150,194;
2023.08;597125,913;
2023.09;593557,239;
2023.10;586994,901;
2023.11;605934,378;
2023.12;644359,232;
2024.01;608328,539;
2024.02;612763,367;
2024.03;625190,365;
