observation_date;CPALTT01USM657N
2001-09-01;667,7902622
2001-10-01;665,5430712
2001-11-01;664,4194757
2001-12-01;661,7977528
2002-01-01;663,2958801
2002-02-01;665,917603
2002-03-01;669,6629213
2002-04-01;673,4082397
2002-05-01;673,4082397
2002-06-01;673,7827715
2002-07-01;674,5318352
2002-08-01;676,7790262
2002-09-01;677,9026217
2002-10-01;679,0262172
2002-11-01;679,0262172
2002-12-01;677,5280899
2003-01-01;680,5243446
2003-02-01;685,7677903
2003-03-01;689,8876404
2003-04-01;688,3895131
2003-05-01;687,2659176
2003-06-01;688,0149813
2003-07-01;688,7640449
2003-08-01;691,3857678
2003-09-01;693,6329588
2003-10-01;692,8838951
2003-11-01;691,011236
2003-12-01;690,2621723
2004-01-01;693,6329588
2004-02-01;697,3782772
2004-03-01;701,8726592
2004-04-01;704,1198502
2004-05-01;708,2397004
2004-06-01;710,4868914
2004-07-01;709,3632959
2004-08-01;709,7378277
2004-09-01;711,2359551
2004-10-01;714,9812734
2004-11-01;715,3558052
2004-12-01;712,7340824
2005-01-01;714,2322097
2005-02-01;718,3520599
2005-03-01;723,9700375
2005-04-01;728,8389513
2005-05-01;728,0898876
2005-06-01;728,4644195
2005-07-01;731,835206
2005-08-01;735,5805243
2005-09-01;744,5692884
2005-10-01;746,0674157
2005-11-01;740,0749064
2005-12-01;737,0786517
2006-01-01;742,6966292
2006-02-01;744,1947566
2006-03-01;748,3146067
2006-04-01;754,6816479
2006-05-01;758,4269663
2006-06-01;759,9250936
2006-07-01;762,1722846
2006-08-01;763,670412
2006-09-01;759,9250936
2006-10-01;755,8052434
2006-11-01;754,6816479
2006-12-01;755,8052434
2007-01-01;758,1123596
2007-02-01;762,1685393
2007-03-01;769,1086142
2007-04-01;774,1048689
2007-05-01;778,835206
2007-06-01;780,3445693
2007-07-01;780,1460674
2007-08-01;778,7153558
2007-09-01;780,8614232
2007-10-01;782,5318352
2007-11-01;787,1797753
2007-12-01;786,6516854
2008-01-01;790,5617978
2008-02-01;792,8576779
2008-03-01;799,7303371
2008-04-01;804,5805243
2008-05-01;811,3558052
2008-06-01;819,5318352
2008-07-01;823,835206
2008-08-01;820,5468165
2008-09-01;819,411985
2008-10-01;811,1348315
2008-11-01;795,5992509
2008-12-01;787,3707865
2009-01-01;790,7977528
2009-02-01;794,7303371
2009-03-01;796,6629213
2009-04-01;798,6516854
2009-05-01;800,9588015
2009-06-01;807,8389513
2009-07-01;806,5580524
2009-08-01;808,3670412
2009-09-01;808,8726592
2009-10-01;809,6516854
2009-11-01;810,2247191
2009-12-01;808,7977528
2010-01-01;811,5617978
2010-02-01;811,7640449
2010-03-01;815,0973783
2010-04-01;816,5131086
2010-05-01;817,1460674
2010-06-01;816,3483146
2010-07-01;816,5205993
2010-08-01;817,6479401
2010-09-01;818,1235955
2010-10-01;819,1423221
2010-11-01;819,4868914
2010-12-01;820,8951311
2011-01-01;824,8052434
2011-02-01;828,8726592
2011-03-01;836,9550562
2011-04-01;842,3445693
2011-05-01;846,3071161
2011-06-01;845,4007491
2011-07-01;846,1498127
2011-08-01;848,4831461
2011-09-01;849,7715356
2011-10-01;848,0187266
2011-11-01;847,3033708
2011-12-01;845,2134831
2012-01-01;848,9325843
2012-02-01;852,670412
2012-03-01;859,1460674
2012-04-01;861,741573
2012-05-01;860,7303371
2012-06-01;859,4681648
2012-07-01;858,0674157
2012-08-01;862,8426966
2012-09-01;866,6928839
2012-10-01;866,3558052
2012-11-01;862,2509363
2012-12-01;859,928839
2013-01-01;862,4719101
2013-02-01;869,5355805
2013-03-01;871,8089888
2013-04-01;870,9026217
2013-05-01;872,4531835
2013-06-01;874,5468165
2013-07-01;874,8913858
2013-08-01;875,9438202
2013-09-01;876,9625468
2013-10-01;874,7041199
2013-11-01;872,917603
2013-12-01;872,8426966
2014-01-01;876,0898876
2014-02-01;879,329588
2014-03-01;884,9925094
2014-04-01;887,9101124
2014-05-01;891,011236
2014-06-01;892,670412
2014-07-01;892,3220974
2014-08-01;890,8314607
2014-09-01;891,5018727
2014-10-01;889,2621723
2014-11-01;884,4606742
2014-12-01;879,4456929
2015-01-01;875,3071161
2015-02-01;879,1086142
2015-03-01;884,340824
2015-04-01;886,1385768
2015-05-01;890,6554307
2015-06-01;893,7752809
2015-07-01;893,835206
2015-08-01;892,5692884
2015-09-01;891,1797753
2015-10-01;890,7790262
2015-11-01;888,8988764
2015-12-01;885,8614232
2016-01-01;887,3258427
2016-02-01;888,0561798
2016-03-01;891,8801498
2016-04-01;896,1086142
2016-05-01;899,7340824
2016-06-01;902,6891386
2016-07-01;901,2284644
2016-08-01;902,0561798
2016-09-01;904,2247191
2016-10-01;905,3520599
2016-11-01;903,9438202
2016-12-01;904,2397004
2017-01-01;909,5093633
2017-02-01;912,3707865
2017-03-01;913,1123596
2017-04-01;915,8202247
2017-05-01;916,6029963
2017-06-01;917,4344569
2017-07-01;916,8014981
2017-08-01;919,5468165
2017-09-01;924,4157303
2017-10-01;923,8314607
2017-11-01;923,8539326
2017-12-01;923,3108614
2018-01-01;928,340824
2018-02-01;932,5505618
2018-03-01;934,659176
2018-04-01;938,3745318
2018-05-01;942,2771536
2018-06-01;943,7790262
2018-07-01;943,8426966
2018-08-01;944,3670412
2018-09-01;945,4644195
2018-10-01;947,1348315
2018-11-01;943,9625468
2018-12-01;940,9475655
2019-01-01;942,741573
2019-02-01;946,7265918
2019-03-01;952,0674157
2019-04-01;957,1086142
2019-05-01;959,1460674
2019-06-01;959,3370787
2019-07-01;960,9400749
2019-08-01;960,8913858
2019-09-01;961,6441948
2019-10-01;963,8426966
2019-11-01;963,3258427
2019-12-01;962,4494382
2020-01-01;966,1835206
2020-02-01;968,8314607
2020-03-01;966,7228464
2020-04-01;960,258427
2020-05-01;960,2771536
2020-06-01;965,5318352
2020-07-01;970,4157303
2020-08-01;973,4756554
2020-09-01;974,8314607
2020-10-01;975,2359551
2020-11-01;974,6404494
2020-12-01;975,5580524
2021-01-01;979,7078652
2021-02-01;985,071161
2021-03-01;992,0486891
2021-04-01;1000,202247
2021-05-01;1008,220974
2021-06-01;1017,588015
2021-07-01;1022,483146
2021-08-01;1024,595506
2021-09-01;1027,378277
2021-10-01;1035,913858
2021-11-01;1041,003745
2021-12-01;1044,202247
2022-01-01;1052,988764
2022-02-01;1062,606742
2022-03-01;1076,794007
2022-04-01;1082,805243
2022-05-01;1094,741573
2022-06-01;1109,779026
2022-07-01;1109,64794
2022-08-01;1109,254682
2022-09-01;1111,640449
2022-10-01;1116,149813
2022-11-01;1115,022472
2022-12-01;1111,599251
2023-01-01;1120,486891
2023-02-01;1126,741573
2023-03-01;1130,47191
2023-04-01;1136,191011
2023-05-01;1139,052434
2023-06-01;1142,730337
2023-07-01;1144,910112
2023-08-01;1149,910112
2023-09-01;1152,76779
2023-10-01;1152,325843
2023-11-01;1150,003745
2023-12-01;1148,861423
2024-01-01;1155,11985
2024-02-01;1162,269663
2024-03-01;1169,782772
