Data,Expectativa média de Inflação - IPCA - taxa anualizada para os próximos seis meses - (% a.a.) - Banco Central do Brasil- Boletim- Seção Atividade Econômica (Bacen / Boletim / Ativ. Ec.) - BM12_IPCAEXP612,
2016.10,6.37873793676633,
2016.11,6.14607626113441,
2016.12,5.30376325956128,
2017.01,4.53047349293076,
2017.02,3.59763496794707,
2017.03,3.61841704475692,
2017.04,3.76277797137325,
2017.05,3.57680938111433,
2017.06,4.28103639944724,
2017.07,5.15777124275718,
2017.08,5.09488719798437,
2017.09,5.05316889249838,
2017.10,5.09507486849297,
2017.11,4.80232271886478,
2017.12,4.13596670893734,
2018.01,3.72152656652414,
2018.02,3.20591760486897,
2018.03,3.26777811447438,
2018.04,3.35023770668512,
2018.05,3.9080911648711,
2018.06,3.28816321394707,
2018.07,3.32876086846627,
2018.08,4.21902660406421,
2018.09,4.65627025521285,
2018.10,4.34360131305995,
2018.11,4.19822306707891,
2018.12,4.38562238744444,
2019.01,4.11555257529905,
2019.02,3.72175119732134,
2019.03,3.37057354849515,
2019.04,2.75394245865959,
2019.05,2.5696662381274,
2019.06,3.12335560305681,
2019.07,3.51483181851284,
2019.08,3.8453621289376,
2019.09,4.01134632146891,
2019.10,4.34411323691593,
2019.11,4.53121001427901,
2019.12,3.97020724354902,
2020.01,3.1443341550037,
2020.02,2.97972101956285,
2020.03,2.30384707389946,
2020.04,1.60981724659037,
2020.05,2.58988673948017,
2020.06,3.22620240951614,
2020.07,3.0614625219155,
2020.08,3.63901381880956,
2020.09,3.97021550656029,
2020.10,4.42689523718858,
2020.11,4.82204726373392,
2020.12,3.35017609274821,
2021.01,3.51492668680595,
2021.02,3.35004659644953,
2021.03,3.42640613599479,
2021.04,3.66877255110871,
2021.05,3.75118939137367,
2021.06,4.31781207981123,
2021.07,4.75863359805848,
2021.08,5.42787086018117,
2021.09,5.77858187187688,
2021.10,6.44871494635977,
2021.11,6.16475299615014,
2021.12,5.13008856746104,
2022.01,5.41702165956239,
2022.02,4.50380731026463,
2022.03,5.04711309144701,
2022.04,5.06255811113054,
2022.05,6.27078283226681,
2022.06,5.03874964928213,
2022.07,6.27453784694991,
2022.08,7.18590245238424,
2022.09,6.54621834264395,
2022.10,6.46456668524571,
2022.11,6.50806390147007,
2022.12,6.13845516217733,
2023.01,6.32470261358336,
2023.02,5.48842771687823,
2023.03,4.7658595346231,
2023.04,4.81337289910848,
2023.05,3.93855768783209,
2023.06,4.22314016595371,
2023.07,4.54163927652853,
2023.08,5.16316877009277,
2023.09,5.12233315274,
2023.10,5.10107032623632,
2023.11,4.92389600058114,
2023.12,4.40629032084972,
2024.01,3.93039774629234,
2024.02,2.66410270466069,
2024.03,2.41248017646203,
2024.04,2.45325959355602,
2024.05,2.43238635277654,
